"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","登录","","0","0","3","0","0"
"","提交订单","","0","0","1","0","0"
"","商品详情","","0","0","1","0","0"
"","订单支付","","0","0","1","0","0"
"","订单详情","","0","0","1","0","0"
"","删除购物车","","0","0","1","0","0"
"","用户注册","","0","0","1","1","0"
"","取消订单","","0","0","1","0","0"
"","加入购物车","","0","0","1","0","0"
"","订单列表","","0","0","1","0","0"
